Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Basic,1,Yes,Yes,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/yes_2.png,#5bb0ff,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/check-alt.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Basic,1,No,No,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/no_1.png,#5bb0ff,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/check-alt.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Basic,1,IDK,I don't know,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/why_2.png,#5bb0ff,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/check-alt.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Basic,1,Maybe,Maybe,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f937-var1f3fbUNI.svg,#5bb0ff,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/check-alt.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Basic,1,Help,I need help,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/help_4.png.varianted-skin.png,#5bb0ff,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/check-alt.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Basic,1,Hello,Hello,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/hello.png.varianted-skin.png,#5bb0ff,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/check-alt.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Basic,1,Bye,Goodbye,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/goodbye.png.varianted-skin.png,#5bb0ff,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/check-alt.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Basic,1,My Name,My name is Ben.,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/what is your name.png,#5bb0ff,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/check-alt.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Needs,2,I need help,"I need help, please.",https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to help_1.png.varianted-skin.png,#f04242,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Needs,2,Suction,I need suction.,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/toilet bowl.png,#f04242,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
